Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.423191					
25.554	2.36313					
51.108	2.52476					
76.662	2.50365					
102.216	2.38012					
127.77	2.36312					
153.324	2.50031					
178.878	1.95106					
204.432	2.63094					
229.986	2.64871					
255.54	2.41786					
281.094	2.37195					
306.648	2.34537					
332.202	2.38275					
357.756	2.39267					
383.31	2.3311					
408.864	2.41981					
434.418	2.35325					
459.972	2.33625					
485.526	2.39594					
511.08	2.43548					
536.634	2.2706					
562.188	2.42855					
587.742	2.1995					
613.296	2.45536					
638.85	2.3422					
664.404	2.38995					
689.958	2.38404					
715.512	2.35393					
741.066	2.4001					
766.62	2.35466					
792.174	2.4138					
817.728	2.02247					
843.282	2.28867					
868.836	2.25061					
894.39	2.22242					
919.944	2.18833					
945.498	2.18067					
971.052	2.1808					
996.606	2.14526					
1022.16	2.04476					
1047.71	2.36602					
1073.27	2.11602					
1098.82	2.27843					
1124.38	2.22464					
1149.93	2.23205					
1175.48	2.21574					
1201.04	2.19988					
1226.59	2.21951					
1252.15	2.22669					
1277.7	2.14382					
1303.25	2.21111					
1328.81	2.19067					
1354.36	2.17962					
1379.92	2.18707					
1405.47	2.16928					
1431.02	2.2495					
1456.58	2.21156					
1482.13	2.2302					
1507.69	2.22209					
1533.24	2.23569					
1558.79	2.1934					
1584.35	2.21873					
1609.9	2.19971					
