Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.367543					
25.554	1.84492					
51.108	2.43323					
76.662	1.96877					
102.216	2.95367					
127.77	1.84392					
153.324	2.02693					
178.878	1.97948					
204.432	2.07634					
229.986	2.04498					
255.54	2.072					
281.094	2.05549					
306.648	2.01983					
332.202	2.02072					
357.756	2.02208					
383.31	2.03232					
408.864	2.04164					
434.418	2.05759					
459.972	1.99831					
485.526	2.09139					
511.08	2.02287					
536.634	1.8816					
562.188	2.06539					
587.742	1.88684					
613.296	2.12931					
638.85	1.98278					
664.404	2.03786					
689.958	2.07164					
715.512	1.99377					
741.066	2.04525					
766.62	2.03174					
792.174	2.0359					
817.728	1.74153					
843.282	1.93328					
868.836	1.92088					
894.39	1.87766					
919.944	1.91482					
945.498	1.83031					
971.052	1.88016					
996.606	1.85268					
1022.16	1.80819					
1047.71	2.00442					
1073.27	1.84914					
1098.82	1.9783					
1124.38	1.9089					
1149.93	1.85961					
1175.48	1.91621					
1201.04	1.86042					
1226.59	1.88498					
1252.15	1.92345					
1277.7	1.83788					
1303.25	1.88921					
1328.81	1.86205					
1354.36	1.83082					
1379.92	1.90477					
1405.47	1.84762					
1431.02	1.91743					
1456.58	1.8946					
1482.13	1.9043					
1507.69	1.90402					
1533.24	1.89877					
1558.79	1.87926					
1584.35	1.89727					
1609.9	1.86939					
