Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.461088					
25.554	2.54336					
51.108	2.77108					
76.662	2.68124					
102.216	2.5797					
127.77	2.55463					
153.324	2.71389					
178.878	2.09334					
204.432	2.7872					
229.986	2.84506					
255.54	2.5866					
281.094	2.54822					
306.648	2.51274					
332.202	2.552					
357.756	2.55881					
383.31	2.50182					
408.864	2.59709					
434.418	2.51115					
459.972	2.50147					
485.526	2.55827					
511.08	2.60963					
536.634	2.43111					
562.188	2.59923					
587.742	2.35419					
613.296	2.63537					
638.85	2.28069					
664.404	2.21073					
689.958	2.15664					
715.512	2.10731					
741.066	2.13418					
766.62	2.09808					
792.174	2.14812					
817.728	1.79125					
843.282	2.03739					
868.836	2.00039					
894.39	1.97089					
919.944	1.94606					
945.498	1.93985					
971.052	1.9425					
996.606	1.90717					
1022.16	1.81512					
1047.71	2.09985					
1073.27	1.88312					
1098.82	2.03007					
1124.38	1.97422					
1149.93	1.9864					
1175.48	1.97287					
1201.04	1.95993					
1226.59	1.97038					
1252.15	1.98561					
1277.7	1.90479					
1303.25	1.96784					
1328.81	1.94484					
1354.36	1.93242					
1379.92	1.94416					
1405.47	1.92493					
1431.02	1.99397					
1456.58	1.96752					
1482.13	1.98459					
1507.69	1.96558					
1533.24	1.98322					
1558.79	1.94594					
1584.35	1.97336					
1609.9	1.95443					
