Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.456445					
25.554	2.51955					
51.108	2.73681					
76.662	2.66779					
102.216	2.56366					
127.77	2.53308					
153.324	2.6882					
178.878	2.10171					
204.432	2.81772					
229.986	2.86096					
255.54	2.60909					
281.094	2.57215					
306.648	2.53513					
332.202	2.56076					
357.756	2.56285					
383.31	2.5093					
408.864	2.6005					
434.418	2.52051					
459.972	2.51049					
485.526	2.57254					
511.08	2.62115					
536.634	2.44734					
562.188	2.61385					
587.742	2.37116					
613.296	2.65502					
638.85	2.52779					
664.404	2.5773					
689.958	2.5678					
715.512	2.53606					
741.066	2.57648					
766.62	2.53444					
792.174	2.59949					
817.728	2.17481					
843.282	2.47563					
868.836	2.42768					
894.39	2.39716					
919.944	2.36869					
945.498	2.35853					
971.052	2.36072					
996.606	2.31983					
1022.16	2.21038					
1047.71	2.54948					
1073.27	2.28779					
1098.82	2.47058					
1124.38	2.407					
1149.93	2.41375					
1175.48	2.3922					
1201.04	2.38081					
1226.59	2.39566					
1252.15	2.40807					
1277.7	2.31915					
1303.25	2.38887					
1328.81	2.36438					
1354.36	2.35051					
1379.92	2.35999					
1405.47	2.34465					
1431.02	2.43598					
1456.58	2.39079					
1482.13	2.41569					
1507.69	2.39208					
1533.24	2.40886					
1558.79	2.36324					
1584.35	2.39683					
1609.9	2.36872					
