Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.404531					
25.554	2.01195					
51.108	2.67206					
76.662	2.15328					
102.216	3.24273					
127.77	2.0269					
153.324	2.22288					
178.878	2.16768					
204.432	2.27862					
229.986	2.24329					
255.54	2.27517					
281.094	2.25787					
306.648	2.2165					
332.202	2.21916					
357.756	2.22029					
383.31	2.23143					
408.864	2.24143					
434.418	2.2562					
459.972	2.18973					
485.526	2.29001					
511.08	2.21325					
536.634	2.06232					
562.188	2.26293					
587.742	2.06912					
613.296	2.33336					
638.85	2.17203					
664.404	2.23079					
689.958	2.26965					
715.512	2.18238					
741.066	2.23688					
766.62	2.2226					
792.174	2.2255					
817.728	1.90238					
843.282	2.11194					
868.836	2.0991					
894.39	2.05086					
919.944	2.09393					
945.498	2.00067					
971.052	2.05266					
996.606	2.02541					
1022.16	1.9778					
1047.71	2.19008					
1073.27	2.02537					
1098.82	2.16257					
1124.38	2.08832					
1149.93	2.03182					
1175.48	2.0922					
1201.04	2.02849					
1226.59	2.05683					
1252.15	2.09707					
1277.7	2.00784					
1303.25	2.06124					
1328.81	2.03397					
1354.36	2.00093					
1379.92	2.07855					
1405.47	2.02216					
1431.02	2.09503					
1456.58	2.07353					
1482.13	2.08255					
1507.69	2.07902					
1533.24	2.07416					
1558.79	2.0495					
1584.35	2.07532					
1609.9	2.04454					
