Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.318234					
25.554	1.55897					
51.108	2.32906					
76.662	1.78616					
102.216	2.51843					
127.77	1.86375					
153.324	2.0272					
178.878	1.49175					
204.432	2.14919					
229.986	2.28398					
255.54	1.88359					
281.094	2.22578					
306.648	1.62487					
332.202	1.85194					
357.756	1.92383					
383.31	1.9182					
408.864	1.94343					
434.418	1.9659					
459.972	1.87285					
485.526	1.97739					
511.08	1.91335					
536.634	1.80236					
562.188	1.94734					
587.742	1.80372					
613.296	1.9941					
638.85	1.89896					
664.404	1.96303					
689.958	1.96845					
715.512	1.905					
741.066	1.99384					
766.62	1.94085					
792.174	1.96911					
817.728	1.64179					
843.282	1.86412					
868.836	1.84954					
894.39	1.83109					
919.944	1.80578					
945.498	1.74408					
971.052	1.78751					
996.606	1.73997					
1022.16	1.67657					
1047.71	1.91364					
1073.27	1.74221					
1098.82	1.85754					
1124.38	1.83186					
1149.93	1.77369					
1175.48	1.83211					
1201.04	1.77379					
1226.59	1.78956					
1252.15	1.83493					
1277.7	1.75392					
1303.25	1.79518					
1328.81	1.76974					
1354.36	1.76241					
1379.92	1.80623					
1405.47	1.76693					
1431.02	1.81215					
1456.58	1.80458					
1482.13	1.81604					
1507.69	1.8068					
1533.24	1.81415					
1558.79	1.78747					
1584.35	1.80701					
1609.9	1.7868					
