Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.316415					
25.554	1.56023					
51.108	2.33067					
76.662	1.78636					
102.216	2.52072					
127.77	1.86754					
153.324	2.02842					
178.878	1.49346					
204.432	2.14694					
229.986	2.28577					
255.54	1.88296					
281.094	2.22684					
306.648	1.62774					
332.202	1.85219					
357.756	1.9265					
383.31	1.91905					
408.864	1.9449					
434.418	1.9666					
459.972	1.87457					
485.526	1.97805					
511.08	1.914					
536.634	1.8036					
562.188	1.94834					
587.742	1.80548					
613.296	1.99505					
638.85	1.89878					
664.404	1.96139					
689.958	1.96535					
715.512	1.90101					
741.066	1.9907					
766.62	1.93772					
792.174	1.9666					
817.728	1.64061					
843.282	1.86173					
868.836	1.84783					
894.39	1.82964					
919.944	1.8035					
945.498	1.74229					
971.052	1.7868					
996.606	1.73931					
1022.16	1.67632					
1047.71	1.91282					
1073.27	1.74116					
1098.82	1.85572					
1124.38	1.83075					
1149.93	1.77295					
1175.48	1.83191					
1201.04	1.77314					
1226.59	1.78984					
1252.15	1.83478					
1277.7	1.75429					
1303.25	1.79443					
1328.81	1.77074					
1354.36	1.76278					
1379.92	1.80785					
1405.47	1.76943					
1431.02	1.8148					
1456.58	1.80537					
1482.13	1.81743					
1507.69	1.8081					
1533.24	1.81546					
1558.79	1.78802					
1584.35	1.80731					
1609.9	1.7877					
