Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.314696					
25.554	1.56085					
51.108	2.33118					
76.662	1.78483					
102.216	2.52013					
127.77	1.86641					
153.324	2.02854					
178.878	1.49468					
204.432	2.14337					
229.986	2.2862					
255.54	1.88255					
281.094	2.22527					
306.648	1.62821					
332.202	1.85074					
357.756	1.92711					
383.31	1.91943					
408.864	1.94543					
434.418	1.96706					
459.972	1.87552					
485.526	1.97866					
511.08	1.91571					
536.634	1.80501					
562.188	1.95002					
587.742	1.80678					
613.296	1.99518					
638.85	1.90006					
664.404	1.96428					
689.958	1.96848					
715.512	1.90404					
741.066	1.99375					
766.62	1.94087					
792.174	1.97022					
817.728	1.6422					
843.282	1.86384					
868.836	1.85017					
894.39	1.83257					
919.944	1.8071					
945.498	1.74551					
971.052	1.7908					
996.606	1.74238					
1022.16	1.68069					
1047.71	1.91672					
1073.27	1.7456					
1098.82	1.85899					
1124.38	1.83401					
1149.93	1.77573					
1175.48	1.83402					
1201.04	1.77579					
1226.59	1.79235					
1252.15	1.83744					
1277.7	1.75707					
1303.25	1.79587					
1328.81	1.77266					
1354.36	1.76385					
1379.92	1.80931					
1405.47	1.77019					
1431.02	1.81523					
1456.58	1.80547					
1482.13	1.81786					
1507.69	1.80799					
1533.24	1.81642					
1558.79	1.79006					
1584.35	1.80897					
1609.9	1.78903					
