Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.381796					
25.554	2.11218					
51.108	2.27295					
76.662	2.20869					
102.216	2.12351					
127.77	2.10429					
153.324	2.23719					
178.878	1.75658					
204.432	2.31896					
229.986	2.37763					
255.54	2.16167					
281.094	2.13296					
306.648	2.09595					
332.202	2.12667					
357.756	2.13052					
383.31	2.08667					
408.864	2.16202					
434.418	2.09613					
459.972	2.09673					
485.526	2.14162					
511.08	2.17997					
536.634	2.03514					
562.188	2.1758					
587.742	1.96641					
613.296	2.20374					
638.85	2.09758					
664.404	2.14935					
689.958	2.14094					
715.512	2.10915					
741.066	2.14696					
766.62	2.1065					
792.174	2.16811					
817.728	1.81183					
843.282	2.05796					
868.836	2.01829					
894.39	1.99105					
919.944	1.9612					
945.498	1.95357					
971.052	1.95763					
996.606	1.92259					
1022.16	1.83388					
1047.71	2.12046					
1073.27	1.89912					
1098.82	2.05481					
1124.38	1.99769					
1149.93	2.0071					
1175.48	1.9923					
1201.04	1.97931					
1226.59	1.99103					
1252.15	2.00045					
1277.7	1.92223					
1303.25	1.98424					
1328.81	1.96032					
1354.36	1.94865					
1379.92	1.95758					
1405.47	1.94799					
1431.02	2.02803					
1456.58	1.99536					
1482.13	2.01046					
1507.69	1.99556					
1533.24	2.0101					
1558.79	1.97214					
1584.35	2.00233					
1609.9	1.98808					
