Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.406616					
25.554	2.02173					
51.108	2.68659					
76.662	2.16747					
102.216	3.25983					
127.77	2.04149					
153.324	2.23457					
178.878	2.18078					
204.432	2.28838					
229.986	2.24893					
255.54	2.28224					
281.094	2.26464					
306.648	2.22343					
332.202	2.22406					
357.756	2.22466					
383.31	2.23385					
408.864	2.24522					
434.418	2.2598					
459.972	2.1997					
485.526	2.29727					
511.08	2.22028					
536.634	2.06378					
562.188	2.266					
587.742	2.07213					
613.296	2.33731					
638.85	2.17788					
664.404	2.23628					
689.958	2.27356					
715.512	2.18976					
741.066	2.24464					
766.62	2.23431					
792.174	2.23697					
817.728	1.9121					
843.282	2.12162					
868.836	2.1105					
894.39	2.06266					
919.944	2.10458					
945.498	2.01012					
971.052	2.06412					
996.606	2.03425					
1022.16	1.98626					
1047.71	2.19906					
1073.27	2.03276					
1098.82	2.17039					
1124.38	2.0952					
1149.93	2.04163					
1175.48	2.10194					
1201.04	2.04152					
1226.59	2.06947					
1252.15	2.10916					
1277.7	2.01785					
1303.25	2.06912					
1328.81	2.04096					
1354.36	2.00795					
1379.92	2.08626					
1405.47	2.02681					
1431.02	2.09807					
1456.58	2.07564					
1482.13	2.08526					
1507.69	2.08293					
1533.24	2.07611					
1558.79	2.05029					
1584.35	2.07089					
1609.9	2.04479					
