Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.40226					
25.554	2.00691					
51.108	2.66685					
76.662	2.14435					
102.216	3.23057					
127.77	2.02006					
153.324	2.21148					
178.878	2.16558					
204.432	2.27056					
229.986	2.23666					
255.54	2.26336					
281.094	2.24662					
306.648	2.20444					
332.202	2.20737					
357.756	2.20928					
383.31	2.21934					
408.864	2.2317					
434.418	2.24698					
459.972	2.11114					
485.526	2.14012					
511.08	2.04498					
536.634	1.89234					
562.188	2.0724					
587.742	1.89142					
613.296	2.13395					
638.85	1.98394					
664.404	2.04202					
689.958	2.07481					
715.512	1.99393					
741.066	2.04416					
766.62	2.03005					
792.174	2.03713					
817.728	1.74145					
843.282	1.93477					
868.836	1.92095					
894.39	1.88134					
919.944	1.9184					
945.498	1.83176					
971.052	1.88341					
996.606	1.85629					
1022.16	1.81271					
1047.71	2.00725					
1073.27	1.85524					
1098.82	1.97951					
1124.38	1.91056					
1149.93	1.86239					
1175.48	1.91527					
1201.04	1.85829					
1226.59	1.88434					
1252.15	1.92224					
1277.7	1.83592					
1303.25	1.88618					
1328.81	1.86064					
1354.36	1.83119					
1379.92	1.90125					
1405.47	1.84661					
1431.02	1.91288					
1456.58	1.89188					
1482.13	1.89992					
1507.69	1.89928					
1533.24	1.89439					
1558.79	1.87145					
1584.35	1.89475					
1609.9	1.86799					
