Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.309138					
25.554	1.56397					
51.108	2.32953					
76.662	1.78503					
102.216	2.51995					
127.77	1.86864					
153.324	2.02788					
178.878	1.49783					
204.432	2.13289					
229.986	2.28846					
255.54	1.88047					
281.094	2.22401					
306.648	1.63303					
332.202	1.848					
357.756	1.92793					
383.31	1.91822					
408.864	1.94724					
434.418	1.96674					
459.972	1.87701					
485.526	1.977					
511.08	1.9145					
536.634	1.80318					
562.188	1.94955					
587.742	1.80578					
613.296	1.99455					
638.85	1.89952					
664.404	1.96322					
689.958	1.967					
715.512	1.90214					
741.066	1.99053					
766.62	1.93814					
792.174	1.96836					
817.728	1.6405					
843.282	1.86154					
868.836	1.84746					
894.39	1.82999					
919.944	1.80475					
945.498	1.74266					
971.052	1.78867					
996.606	1.73829					
1022.16	1.67924					
1047.71	1.91274					
1073.27	1.74432					
1098.82	1.85625					
1124.38	1.83379					
1149.93	1.7753					
1175.48	1.83301					
1201.04	1.77487					
1226.59	1.79272					
1252.15	1.83489					
1277.7	1.7552					
1303.25	1.79255					
1328.81	1.77044					
1354.36	1.76116					
1379.92	1.80759					
1405.47	1.76953					
1431.02	1.81579					
1456.58	1.80374					
1482.13	1.81866					
1507.69	1.80605					
1533.24	1.81524					
1558.79	1.78901					
1584.35	1.80716					
1609.9	1.78744					
