Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.402063					
25.554	2.00508					
51.108	2.66444					
76.662	2.14795					
102.216	3.23511					
127.77	2.02057					
153.324	2.21718					
178.878	2.1635					
204.432	2.27117					
229.986	2.23509					
255.54	2.26697					
281.094	2.25283					
306.648	2.21126					
332.202	2.21267					
357.756	2.21258					
383.31	2.22277					
408.864	2.23377					
434.418	2.24887					
459.972	2.1862					
485.526	2.28608					
511.08	2.21272					
536.634	2.06					
562.188	2.2551					
587.742	2.06472					
613.296	2.32852					
638.85	2.16818					
664.404	2.23091					
689.958	2.26895					
715.512	2.18247					
741.066	2.23775					
766.62	2.22335					
792.174	2.22738					
817.728	1.90581					
843.282	2.11398					
868.836	2.10079					
894.39	2.05288					
919.944	2.09334					
945.498	2.0007					
971.052	2.05077					
996.606	2.02442					
1022.16	1.97374					
1047.71	2.1869					
1073.27	2.0216					
1098.82	2.15983					
1124.38	2.08734					
1149.93	2.03381					
1175.48	2.0926					
1201.04	2.03085					
1226.59	2.05659					
1252.15	2.09714					
1277.7	2.00717					
1303.25	2.06229					
1328.81	2.03418					
1354.36	2.00312					
1379.92	2.07977					
1405.47	2.02177					
1431.02	2.09486					
1456.58	2.07293					
1482.13	2.08338					
1507.69	2.08053					
1533.24	2.07496					
1558.79	2.04924					
1584.35	2.07002					
1609.9	2.04298					
