Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.198944					
25.554	0.620832					
51.108	2.16158					
76.662	0.897695					
102.216	1.90971					
127.77	0.969139					
153.324	0.443447					
178.878	1.82825					
204.432	0.975853					
229.986	0.179602					
255.54	1.86163					
281.094	0.457371					
306.648	1.80193					
332.202	1.66944					
357.756	1.01223					
383.31	1.85269					
408.864	1.55007					
434.418	0.994349					
459.972	0.805165					
485.526	1.69539					
511.08	0.602521					
536.634	0.826681					
562.188	1.23251					
587.742	0.778107					
613.296	1.53697					
638.85	1.3388					
664.404	1.12573					
689.958	1.34418					
715.512	0.838739					
741.066	0.781452					
766.62	1.22075					
792.174	0.987661					
817.728	1.07757					
843.282	0.746651					
868.836	1.00471					
894.39	1.3917					
919.944	1.07095					
945.498	1.51171					
971.052	0.634547					
996.606	0.669974					
1022.16	1.27024					
1047.71	0.418302					
1073.27	1.6645					
1098.82	0.898413					
1124.38	1.28849					
1149.93	1.74223					
1175.48	0.571298					
1201.04	1.67684					
1226.59	0.886969					
1252.15	1.89447					
1277.7	0.464717					
1303.25	0.673825					
1328.81	0.513894					
1354.36	0.031312					
1379.92	1.93921					
1405.47	1.35159					
1431.02	1.46531					
1456.58	1.82575					
1482.13	0.572426					
1507.69	2.01224					
1533.24	0.174327					
1558.79	0.16309					
1584.35	1.06083					
1609.9	0.15501					
