Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.244057					
25.554	0.803123					
51.108	2.03115					
76.662	0.871791					
102.216	2.14915					
127.77	1.01391					
153.324	0.461556					
178.878	1.8739					
204.432	0.849142					
229.986	0.104948					
255.54	1.79715					
281.094	0.322051					
306.648	1.81197					
332.202	1.56607					
357.756	1.06065					
383.31	2.03674					
408.864	2.15569					
434.418	0.714817					
459.972	0.747659					
485.526	2.04212					
511.08	0.651814					
536.634	1.58624					
562.188	0.952112					
587.742	0.208366					
613.296	1.91289					
638.85	1.21842					
664.404	1.37249					
689.958	1.83438					
715.512	0.245902					
741.066	0.82465					
766.62	0.558693					
792.174	0.395088					
817.728	0.302367					
843.282	1.02269					
868.836	1.62052					
894.39	0.523205					
919.944	1.37289					
945.498	0.781016					
971.052	1.08927					
996.606	1.71811					
1022.16	0.48597					
1047.71	1.43091					
1073.27	0.557353					
1098.82	1.01096					
1124.38	0.990149					
1149.93	0.61656					
1175.48	1.23788					
1201.04	0.879579					
1226.59	1.3446					
1252.15	0.831891					
1277.7	1.18117					
1303.25	1.44457					
1328.81	0.776256					
1354.36	0.964071					
1379.92	0.953057					
1405.47	0.746653					
1431.02	1.126					
1456.58	0.860912					
1482.13	1.09891					
1507.69	1.06066					
1533.24	0.905769					
1558.79	0.999198					
1584.35	0.799764					
1609.9	0.697773					
