Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.180762					
25.554	1.2041					
51.108	0.459253					
76.662	0.800669					
102.216	0.495288					
127.77	0.950303					
153.324	0.263673					
178.878	0.759251					
204.432	1.09777					
229.986	0.0805628					
255.54	0.458695					
281.094	1.45318					
306.648	1.73547					
332.202	0.596413					
357.756	1.0872					
383.31	2.06683					
408.864	0.441953					
434.418	1.11605					
459.972	0.351007					
485.526	0.600543					
511.08	1.20052					
536.634	1.19328					
562.188	0.881373					
587.742	1.39489					
613.296	1.76599					
638.85	0.703253					
664.404	0.964478					
689.958	1.98138					
715.512	1.47699					
741.066	0.898492					
766.62	0.490376					
792.174	1.60644					
817.728	1.0744					
843.282	0.770326					
868.836	0.371713					
894.39	1.24714					
919.944	1.62366					
945.498	1.03225					
971.052	0.895034					
996.606	1.83125					
1022.16	1.27991					
1047.71	0.556714					
1073.27	0.197143					
1098.82	1.2639					
1124.38	0.759446					
1149.93	0.1125					
1175.48	0.489296					
1201.04	1.23093					
1226.59	1.58661					
1252.15	1.18109					
1277.7	0.834907					
1303.25	1.67408					
1328.81	1.0471					
1354.36	0.672016					
1379.92	0.352977					
1405.47	1.39311					
1431.02	0.751468					
1456.58	0.0185889					
1482.13	0.471855					
1507.69	1.35431					
1533.24	1.28479					
1558.79	0.434346					
1584.35	1.17214					
1609.9	1.65692					
