Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.203699					
25.554	0.548287					
51.108	2.18649					
76.662	0.92101					
102.216	1.81086					
127.77	0.926525					
153.324	0.430141					
178.878	1.75652					
204.432	1.00979					
229.986	0.248685					
255.54	1.83596					
281.094	0.559476					
306.648	1.76603					
332.202	1.69038					
357.756	0.98665					
383.31	1.70608					
408.864	1.30401					
434.418	1.04891					
459.972	0.84559					
485.526	1.40462					
511.08	0.638632					
536.634	0.6287					
562.188	1.35095					
587.742	1.11006					
613.296	1.23545					
638.85	1.34601					
664.404	0.971037					
689.958	1.01956					
715.512	1.23124					
741.066	0.78605					
766.62	1.58334					
792.174	1.31591					
817.728	1.4832					
843.282	0.656351					
868.836	0.704392					
894.39	1.69659					
919.944	0.881658					
945.498	1.7212					
971.052	0.51672					
996.606	0.272892					
1022.16	1.59744					
1047.71	0.212533					
1073.27	2.04181					
1098.82	0.942383					
1124.38	1.2778					
1149.93	1.95796					
1175.48	0.390716					
1201.04	1.72562					
1226.59	0.730879					
1252.15	1.9215					
1277.7	0.412459					
1303.25	0.482132					
1328.81	0.701473					
1354.36	0.20597					
1379.92	1.80788					
1405.47	1.38303					
1431.02	1.31308					
1456.58	1.66464					
1482.13	0.658052					
1507.69	1.64437					
1533.24	0.588504					
1558.79	0.499777					
1584.35	1.21319					
1609.9	0.784321					
