Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.203557					
25.554	0.548206					
51.108	2.18822					
76.662	0.922411					
102.216	1.81164					
127.77	0.926387					
153.324	0.429912					
178.878	1.75689					
204.432	1.01084					
229.986	0.248336					
255.54	1.83513					
281.094	0.55899					
306.648	1.76379					
332.202	1.68794					
357.756	0.984479					
383.31	1.70392					
408.864	1.30218					
434.418	1.04737					
459.972	0.844716					
485.526	1.40165					
511.08	0.63849					
536.634	0.627724					
562.188	1.34834					
587.742	1.10949					
613.296	1.2332					
638.85	1.34376					
664.404	0.970559					
689.958	1.0168					
715.512	1.23083					
741.066	0.785803					
766.62	1.58087					
792.174	1.31522					
817.728	1.48154					
843.282	0.657595					
868.836	0.701976					
894.39	1.69473					
919.944	0.881411					
945.498	1.71762					
971.052	0.520599					
996.606	0.273091					
1022.16	1.59384					
1047.71	0.213814					
1073.27	2.03928					
1098.82	0.944475					
1124.38	1.2724					
1149.93	1.95527					
1175.48	0.387343					
1201.04	1.72006					
1226.59	0.724003					
1252.15	1.91761					
1277.7	0.413209					
1303.25	0.480605					
1328.81	0.701584					
1354.36	0.206552					
1379.92	1.80135					
1405.47	1.37882					
1431.02	1.30836					
1456.58	1.6602					
1482.13	0.659478					
1507.69	1.64063					
1533.24	0.58786					
1558.79	0.499899					
1584.35	1.20629					
1609.9	0.782068					
