Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.261049					
25.554	0.858822					
51.108	1.98286					
76.662	0.887022					
102.216	2.20596					
127.77	1.02453					
153.324	0.456698					
178.878	1.83807					
204.432	0.8056					
229.986	0.103172					
255.54	1.76751					
281.094	0.295507					
306.648	1.76511					
332.202	1.50291					
357.756	1.07226					
383.31	2.05086					
408.864	2.35373					
434.418	0.584128					
459.972	0.732437					
485.526	2.05326					
511.08	0.701364					
536.634	1.8836					
562.188	0.862711					
587.742	0.0521799					
613.296	1.95991					
638.85	1.14988					
664.404	1.44624					
689.958	1.91731					
715.512	0.113356					
741.066	0.844988					
766.62	0.335196					
792.174	0.227192					
817.728	0.0886698					
843.282	1.2075					
868.836	1.7725					
894.39	0.18848					
919.944	1.36626					
945.498	0.457284					
971.052	1.32547					
996.606	2.03136					
1022.16	0.26181					
1047.71	1.90833					
1073.27	0.163521					
1098.82	1.152					
1124.38	0.74894					
1149.93	0.152078					
1175.48	1.39405					
1201.04	0.422624					
1226.59	1.44299					
1252.15	0.25429					
1277.7	1.60754					
1303.25	1.65834					
1328.81	1.08268					
1354.36	1.52913					
1379.92	0.298608					
1405.47	0.524476					
1431.02	0.733886					
1456.58	0.307717					
1482.13	1.30985					
1507.69	0.287586					
1533.24	1.6042					
1558.79	1.56051					
1584.35	0.929786					
1609.9	1.41637					
