Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.199955					
25.554	0.619528					
51.108	2.16027					
76.662	0.897541					
102.216	1.90998					
127.77	0.970199					
153.324	0.443399					
178.878	1.82714					
204.432	0.975039					
229.986	0.17985					
255.54	1.86057					
281.094	0.457219					
306.648	1.8008					
332.202	1.66777					
357.756	1.01303					
383.31	1.85154					
408.864	1.54914					
434.418	0.994174					
459.972	0.807155					
485.526	1.69682					
511.08	0.602503					
536.634	0.827091					
562.188	1.23022					
587.742	0.776871					
613.296	1.53839					
638.85	1.33864					
664.404	1.12741					
689.958	1.34352					
715.512	0.83854					
741.066	0.782599					
766.62	1.21948					
792.174	0.98655					
817.728	1.07597					
843.282	0.742201					
868.836	1.00398					
894.39	1.39076					
919.944	1.06932					
945.498	1.51002					
971.052	0.632888					
996.606	0.668546					
1022.16	1.26698					
1047.71	0.41312					
1073.27	1.66262					
1098.82	0.893615					
1124.38	1.2906					
1149.93	1.74113					
1175.48	0.573391					
1201.04	1.67865					
1226.59	0.891103					
1252.15	1.89462					
1277.7	0.454433					
1303.25	0.679198					
1328.81	0.514482					
1354.36	0.0317411					
1379.92	1.94098					
1405.47	1.35215					
1431.02	1.4695					
1456.58	1.82685					
1482.13	0.575563					
1507.69	2.01391					
1533.24	0.171148					
1558.79	0.165186					
1584.35	1.05703					
1609.9	0.15128					
