Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.248033					
25.554	0.547708					
51.108	1.43398					
76.662	1.23658					
102.216	0.0991096					
127.77	0.854182					
153.324	1.35992					
178.878	1.17965					
204.432	1.0299					
229.986	0.0822017					
255.54	1.94353					
281.094	1.04456					
306.648	0.540136					
332.202	0.442766					
357.756	1.04607					
383.31	0.596677					
408.864	0.986603					
434.418	0.45357					
459.972	0.605235					
485.526	1.8116					
511.08	0.76106					
536.634	0.578756					
562.188	1.30471					
587.742	2.01748					
613.296	0.658236					
638.85	1.02429					
664.404	1.40968					
689.958	1.95913					
715.512	0.348002					
741.066	1.09726					
766.62	1.57177					
792.174	1.77395					
817.728	2.05819					
843.282	0.877111					
868.836	0.938927					
894.39	0.201479					
919.944	1.41263					
945.498	0.424791					
971.052	0.915689					
996.606	0.403891					
1022.16	1.69142					
1047.71	0.236181					
1073.27	1.76478					
1098.82	1.19204					
1124.38	0.832716					
1149.93	0.0155706					
1175.48	1.56057					
1201.04	1.00012					
1226.59	0.675619					
1252.15	1.91636					
1277.7	0.496748					
1303.25	0.693703					
1328.81	0.985851					
1354.36	1.69649					
1379.92	0.063206					
1405.47	0.60361					
1431.02	0.857895					
1456.58	1.38685					
1482.13	0.451313					
1507.69	1.93234					
1533.24	0.492141					
1558.79	1.09835					
1584.35	1.0669					
1609.9	2.1228					
