Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.248153					
25.554	0.549882					
51.108	1.43613					
76.662	1.23391					
102.216	0.0999654					
127.77	0.85563					
153.324	1.35872					
178.878	1.17707					
204.432	1.03257					
229.986	0.0822049					
255.54	1.94281					
281.094	1.0417					
306.648	0.541338					
332.202	0.441641					
357.756	1.04247					
383.31	0.595716					
408.864	0.987278					
434.418	0.456073					
459.972	0.604085					
485.526	1.80927					
511.08	0.763218					
536.634	0.581055					
562.188	1.29992					
587.742	2.01566					
613.296	0.656567					
638.85	1.02833					
664.404	1.40452					
689.958	1.95622					
715.512	0.348429					
741.066	1.10195					
766.62	1.56765					
792.174	1.77557					
817.728	2.05841					
843.282	0.87406					
868.836	0.942699					
894.39	0.2033					
919.944	1.41755					
945.498	0.426425					
971.052	0.91866					
996.606	0.402244					
1022.16	1.69497					
1047.71	0.236537					
1073.27	1.76562					
1098.82	1.19144					
1124.38	0.835917					
1149.93	0.0155689					
1175.48	1.56193					
1201.04	0.999826					
1226.59	0.678405					
1252.15	1.91856					
1277.7	0.490801					
1303.25	0.698934					
1328.81	0.988172					
1354.36	1.69808					
1379.92	0.0621938					
1405.47	0.604223					
1431.02	0.857844					
1456.58	1.38627					
1482.13	0.452301					
1507.69	1.93293					
1533.24	0.490583					
1558.79	1.09886					
1584.35	1.07166					
1609.9	2.12345					
