Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.139163					
25.554	1.04751					
51.108	0.047902					
76.662	1.04581					
102.216	1.8358					
127.77	0.820958					
153.324	1.26162					
178.878	0.287453					
204.432	0.856574					
229.986	0.075535					
255.54	0.937276					
281.094	1.53662					
306.648	0.548411					
332.202	1.36408					
357.756	0.988015					
383.31	0.409642					
408.864	0.160611					
434.418	0.981577					
459.972	0.464967					
485.526	1.04929					
511.08	1.61355					
536.634	0.599968					
562.188	0.849956					
587.742	0.26999					
613.296	0.51146					
638.85	0.743545					
664.404	0.877608					
689.958	1.69087					
715.512	0.767623					
741.066	0.886339					
766.62	1.37475					
792.174	0.380447					
817.728	0.236941					
843.282	0.666875					
868.836	0.312807					
894.39	0.754405					
919.944	1.34015					
945.498	0.802543					
971.052	0.709766					
996.606	0.416107					
1022.16	0.283252					
1047.71	1.27449					
1073.27	1.22155					
1098.82	0.693982					
1124.38	0.936574					
1149.93	0.0498728					
1175.48	0.880328					
1201.04	1.20054					
1226.59	0.508031					
1252.15	0.267802					
1277.7	1.04139					
1303.25	0.609621					
1328.81	0.728387					
1354.36	0.985947					
1379.92	0.154761					
1405.47	0.777316					
1431.02	0.766087					
1456.58	1.20316					
1482.13	1.19209					
1507.69	0.245994					
1533.24	0.652062					
1558.79	0.159825					
1584.35	0.832658					
1609.9	1.53096					
