Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.264925					
25.554	0.864751					
51.108	1.99377					
76.662	0.889738					
102.216	2.20739					
127.77	1.0217					
153.324	0.459447					
178.878	1.84381					
204.432	0.811332					
229.986	0.104127					
255.54	1.77685					
281.094	0.294048					
306.648	1.7732					
332.202	1.50403					
357.756	1.08106					
383.31	2.05718					
408.864	2.35823					
434.418	0.57788					
459.972	0.745818					
485.526	2.0636					
511.08	0.722352					
536.634	1.90617					
562.188	0.85229					
587.742	0.0531018					
613.296	1.97474					
638.85	1.13787					
664.404	1.47268					
689.958	1.91969					
715.512	0.120061					
741.066	0.864495					
766.62	0.323517					
792.174	0.240485					
817.728	0.0872957					
843.282	1.22912					
868.836	1.77599					
894.39	0.182861					
919.944	1.35578					
945.498	0.451685					
971.052	1.33919					
996.606	2.03055					
1022.16	0.277898					
1047.71	1.93648					
1073.27	0.157338					
1098.82	1.17671					
1124.38	0.73226					
1149.93	0.153539					
1175.48	1.37995					
1201.04	0.405365					
1226.59	1.42058					
1252.15	0.245791					
1277.7	1.64475					
1303.25	1.63816					
1328.81	1.11073					
1354.36	1.53656					
1379.92	0.290515					
1405.47	0.5444					
1431.02	0.718392					
1456.58	0.321231					
1482.13	1.29306					
1507.69	0.286239					
1533.24	1.63207					
1558.79	1.54827					
1584.35	0.961419					
1609.9	1.42572					
