Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.244206					
25.554	0.805147					
51.108	2.03316					
76.662	0.872352					
102.216	2.15076					
127.77	1.01428					
153.324	0.462305					
178.878	1.87556					
204.432	0.849022					
229.986	0.105124					
255.54	1.79667					
281.094	0.322661					
306.648	1.81199					
332.202	1.567					
357.756	1.05989					
383.31	2.03759					
408.864	2.15743					
434.418	0.718571					
459.972	0.744629					
485.526	2.04207					
511.08	0.649603					
536.634	1.57998					
562.188	0.958741					
587.742	0.208777					
613.296	1.91285					
638.85	1.2256					
664.404	1.37386					
689.958	1.83901					
715.512	0.246356					
741.066	0.826628					
766.62	0.558857					
792.174	0.395701					
817.728	0.302545					
843.282	1.02637					
868.836	1.62374					
894.39	0.524516					
919.944	1.37787					
945.498	0.785595					
971.052	1.08742					
996.606	1.71978					
1022.16	0.482967					
1047.71	1.42981					
1073.27	0.557406					
1098.82	1.00927					
1124.38	0.991354					
1149.93	0.616345					
1175.48	1.23976					
1201.04	0.881824					
1226.59	1.34739					
1252.15	0.833701					
1277.7	1.17826					
1303.25	1.44949					
1328.81	0.775737					
1354.36	0.966755					
1379.92	0.953894					
1405.47	0.745943					
1431.02	1.12869					
1456.58	0.860633					
1482.13	1.10448					
1507.69	1.0625					
1533.24	0.907242					
1558.79	1.0019					
1584.35	0.801097					
1609.9	0.702039					
