Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.181147					
25.554	1.20783					
51.108	0.46091					
76.662	0.801857					
102.216	0.495596					
127.77	0.953261					
153.324	0.265247					
178.878	0.760073					
204.432	1.09873					
229.986	0.0809425					
255.54	0.458365					
281.094	1.45352					
306.648	1.73561					
332.202	0.596322					
357.756	1.08639					
383.31	2.06573					
408.864	0.441292					
434.418	1.11581					
459.972	0.350163					
485.526	0.600239					
511.08	1.19931					
536.634	1.18983					
562.188	0.881422					
587.742	1.39597					
613.296	1.76796					
638.85	0.702463					
664.404	0.960815					
689.958	1.98141					
715.512	1.47753					
741.066	0.896836					
766.62	0.491942					
792.174	1.60674					
817.728	1.07363					
843.282	0.769505					
868.836	0.371025					
894.39	1.24671					
919.944	1.62293					
945.498	1.03162					
971.052	0.893928					
996.606	1.83233					
1022.16	1.2812					
1047.71	0.555705					
1073.27	0.197877					
1098.82	1.26584					
1124.38	0.760997					
1149.93	0.111766					
1175.48	0.488484					
1201.04	1.22997					
1226.59	1.58434					
1252.15	1.17876					
1277.7	0.836707					
1303.25	1.6734					
1328.81	1.04457					
1354.36	0.67156					
1379.92	0.353822					
1405.47	1.38985					
1431.02	0.745562					
1456.58	0.0188224					
1482.13	0.471985					
1507.69	1.3497					
1533.24	1.28118					
1558.79	0.434146					
1584.35	1.17077					
1609.9	1.65393					
