Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.181034					
25.554	1.20523					
51.108	0.459748					
76.662	0.801124					
102.216	0.496755					
127.77	0.950144					
153.324	0.264504					
178.878	0.758751					
204.432	1.09577					
229.986	0.0804371					
255.54	0.460679					
281.094	1.45305					
306.648	1.73631					
332.202	0.598532					
357.756	1.08924					
383.31	2.06646					
408.864	0.443002					
434.418	1.11515					
459.972	0.350494					
485.526	0.600243					
511.08	1.20277					
536.634	1.1938					
562.188	0.883116					
587.742	1.397					
613.296	1.76911					
638.85	0.706436					
664.404	0.963006					
689.958	1.98181					
715.512	1.47534					
741.066	0.899328					
766.62	0.48751					
792.174	1.60516					
817.728	1.0734					
843.282	0.773926					
868.836	0.375331					
894.39	1.24786					
919.944	1.62382					
945.498	1.03541					
971.052	0.896179					
996.606	1.83427					
1022.16	1.2782					
1047.71	0.557124					
1073.27	0.195602					
1098.82	1.26191					
1124.38	0.761949					
1149.93	0.110988					
1175.48	0.491279					
1201.04	1.23446					
1226.59	1.59049					
1252.15	1.18188					
1277.7	0.838101					
1303.25	1.6777					
1328.81	1.04923					
1354.36	0.672756					
1379.92	0.350417					
1405.47	1.39338					
1431.02	0.750376					
1456.58	0.0187536					
1482.13	0.47369					
1507.69	1.35544					
1533.24	1.29013					
1558.79	0.434773					
1584.35	1.17001					
1609.9	1.66287					
