Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.202954					
25.554	0.548469					
51.108	2.18558					
76.662	0.921155					
102.216	1.81053					
127.77	0.925265					
153.324	0.429684					
178.878	1.75551					
204.432	1.00975					
229.986	0.248838					
255.54	1.8354					
281.094	0.558516					
306.648	1.76483					
332.202	1.68779					
357.756	0.984484					
383.31	1.70405					
408.864	1.30209					
434.418	1.04717					
459.972	0.846028					
485.526	1.40175					
511.08	0.638924					
536.634	0.628093					
562.188	1.34853					
587.742	1.10965					
613.296	1.23422					
638.85	1.34324					
664.404	0.971313					
689.958	1.017					
715.512	1.23167					
741.066	0.786582					
766.62	1.5815					
792.174	1.31564					
817.728	1.48228					
843.282	0.656933					
868.836	0.703121					
894.39	1.69512					
919.944	0.883228					
945.498	1.71741					
971.052	0.523449					
996.606	0.269901					
1022.16	1.59475					
1047.71	0.212522					
1073.27	2.03902					
1098.82	0.945221					
1124.38	1.27282					
1149.93	1.95689					
1175.48	0.385462					
1201.04	1.72116					
1226.59	0.728852					
1252.15	1.91927					
1277.7	0.410512					
1303.25	0.481626					
1328.81	0.701545					
1354.36	0.205163					
1379.92	1.80603					
1405.47	1.37626					
1431.02	1.30832					
1456.58	1.66359					
1482.13	0.660531					
1507.69	1.64465					
1533.24	0.584883					
1558.79	0.499534					
1584.35	1.2059					
1609.9	0.780027					
