Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.215731					
25.554	0.725549					
51.108	2.10749					
76.662	0.886327					
102.216	2.04958					
127.77	0.987302					
153.324	0.463521					
178.878	1.88227					
204.432	0.885737					
229.986	0.13895					
255.54	1.82299					
281.094	0.380358					
306.648	1.81701					
332.202	1.58333					
357.756	1.05059					
383.31	1.97155					
408.864	1.89676					
434.418	0.880209					
459.972	0.781216					
485.526	1.90558					
511.08	0.61078					
536.634	1.18376					
562.188	1.10175					
587.742	0.44382					
613.296	1.80414					
638.85	1.28189					
664.404	1.27812					
689.958	1.63291					
715.512	0.472839					
741.066	0.813684					
766.62	0.85791					
792.174	0.653594					
817.728	0.618576					
843.282	0.885386					
868.836	1.35681					
894.39	0.953674					
919.944	1.27163					
945.498	1.10772					
971.052	0.847081					
996.606	1.23549					
1022.16	0.82481					
1047.71	0.879995					
1073.27	1.08568					
1098.82	0.910637					
1124.38	1.20405					
1149.93	1.18062					
1175.48	0.926439					
1201.04	1.34125					
1226.59	1.17483					
1252.15	1.44363					
1277.7	0.730083					
1303.25	1.08351					
1328.81	0.534956					
1354.36	0.355089					
1379.92	1.61312					
1405.47	1.04138					
1431.02	1.45896					
1456.58	1.45884					
1482.13	0.808929					
1507.69	1.77627					
1533.24	0.294639					
1558.79	0.430546					
1584.35	0.816223					
1609.9	0.123555					
