Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.200151					
25.554	0.620059					
51.108	2.16287					
76.662	0.897949					
102.216	1.91096					
127.77	0.970405					
153.324	0.443704					
178.878	1.82767					
204.432	0.975982					
229.986	0.180027					
255.54	1.86089					
281.094	0.457344					
306.648	1.80188					
332.202	1.66721					
357.756	1.01342					
383.31	1.85198					
408.864	1.55033					
434.418	0.993674					
459.972	0.806439					
485.526	1.69596					
511.08	0.601958					
536.634	0.826877					
562.188	1.2335					
587.742	0.777794					
613.296	1.53775					
638.85	1.33857					
664.404	1.12751					
689.958	1.34472					
715.512	0.837991					
741.066	0.781946					
766.62	1.21957					
792.174	0.986546					
817.728	1.07618					
843.282	0.743428					
868.836	1.0052					
894.39	1.39035					
919.944	1.07136					
945.498	1.51114					
971.052	0.632647					
996.606	0.673405					
1022.16	1.2676					
1047.71	0.413209					
1073.27	1.66229					
1098.82	0.894447					
1124.38	1.28996					
1149.93	1.74095					
1175.48	0.573332					
1201.04	1.67835					
1226.59	0.890724					
1252.15	1.89536					
1277.7	0.458361					
1303.25	0.67747					
1328.81	0.514661					
1354.36	0.0313638					
1379.92	1.94342					
1405.47	1.34687					
1431.02	1.47637					
1456.58	1.82474					
1482.13	0.582924					
1507.69	2.01773					
1533.24	0.165919					
1558.79	0.168912					
1584.35	1.05314					
1609.9	0.149376					
