Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.244853					
25.554	0.546394					
51.108	1.39735					
76.662	1.17379					
102.216	0.0956494					
127.77	0.837859					
153.324	1.29889					
178.878	1.12587					
204.432	1.02302					
229.986	0.0812791					
255.54	1.86516					
281.094	0.989343					
306.648	0.537482					
332.202	0.42425					
357.756	0.997251					
383.31	0.577487					
408.864	0.966104					
434.418	0.451753					
459.972	0.590009					
485.526	1.75715					
511.08	0.7608					
536.634	0.57725					
562.188	1.25316					
587.742	1.95616					
613.296	0.628974					
638.85	1.02286					
664.404	1.34695					
689.958	1.88844					
715.512	0.348583					
741.066	1.1005					
766.62	1.50326					
792.174	1.72358					
817.728	1.99455					
843.282	0.819274					
868.836	0.929919					
894.39	0.199686					
919.944	1.37185					
945.498	0.397245					
971.052	0.915411					
996.606	0.383178					
1022.16	1.64956					
1047.71	0.222232					
1073.27	1.71595					
1098.82	1.11759					
1124.38	0.828983					
1149.93	0.0153154					
1175.48	1.49477					
1201.04	0.939733					
1226.59	0.634736					
1252.15	1.85225					
1277.7	0.467048					
1303.25	0.695187					
1328.81	0.930001					
1354.36	1.64364					
1379.92	0.0607331					
1405.47	0.598016					
1431.02	0.803797					
1456.58	1.35393					
1482.13	0.42948					
1507.69	1.86787					
1533.24	0.463422					
1558.79	1.08245					
1584.35	1.01105					
1609.9	2.05328					
