Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.138858					
25.554	1.04759					
51.108	0.0478597					
76.662	1.04577					
102.216	1.83543					
127.77	0.820356					
153.324	1.2624					
178.878	0.287365					
204.432	0.85762					
229.986	0.0758081					
255.54	0.941118					
281.094	1.53856					
306.648	0.547969					
332.202	1.36373					
357.756	0.988899					
383.31	0.410553					
408.864	0.160279					
434.418	0.982519					
459.972	0.464917					
485.526	1.04968					
511.08	1.6171					
536.634	0.59993					
562.188	0.849403					
587.742	0.270542					
613.296	0.510217					
638.85	0.744281					
664.404	0.876324					
689.958	1.68716					
715.512	0.768002					
741.066	0.884135					
766.62	1.37364					
792.174	0.37958					
817.728	0.236618					
843.282	0.668991					
868.836	0.310211					
894.39	0.75239					
919.944	1.34135					
945.498	0.801323					
971.052	0.713653					
996.606	0.415542					
1022.16	0.277692					
1047.71	1.26698					
1073.27	1.21781					
1098.82	0.691381					
1124.38	0.934173					
1149.93	0.0522224					
1175.48	0.878906					
1201.04	1.19442					
1226.59	0.506798					
1252.15	0.268125					
1277.7	1.03601					
1303.25	0.607369					
1328.81	0.728913					
1354.36	0.986378					
1379.92	0.154912					
1405.47	0.777889					
1431.02	0.767965					
1456.58	1.20471					
1482.13	1.19145					
1507.69	0.245403					
1533.24	0.651175					
1558.79	0.159944					
1584.35	0.833127					
1609.9	1.53119					
