Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.215373					
25.554	0.726699					
51.108	2.10718					
76.662	0.886224					
102.216	2.04851					
127.77	0.989358					
153.324	0.463509					
178.878	1.88311					
204.432	0.884865					
229.986	0.139257					
255.54	1.82333					
281.094	0.380039					
306.648	1.81713					
332.202	1.58308					
357.756	1.05237					
383.31	1.97347					
408.864	1.89682					
434.418	0.879069					
459.972	0.780809					
485.526	1.90475					
511.08	0.610725					
536.634	1.18016					
562.188	1.10169					
587.742	0.443195					
613.296	1.79931					
638.85	1.28167					
664.404	1.27346					
689.958	1.62883					
715.512	0.472155					
741.066	0.809302					
766.62	0.857568					
792.174	0.651901					
817.728	0.618948					
843.282	0.883933					
868.836	1.35326					
894.39	0.95442					
919.944	1.26797					
945.498	1.10618					
971.052	0.844727					
996.606	1.22817					
1022.16	0.824766					
1047.71	0.877231					
1073.27	1.08395					
1098.82	0.910939					
1124.38	1.20044					
1149.93	1.18154					
1175.48	0.921386					
1201.04	1.33838					
1226.59	1.16956					
1252.15	1.44238					
1277.7	0.730361					
1303.25	1.07938					
1328.81	0.536548					
1354.36	0.353208					
1379.92	1.61235					
1405.47	1.0435					
1431.02	1.45906					
1456.58	1.45828					
1482.13	0.808023					
1507.69	1.7773					
1533.24	0.295977					
1558.79	0.426772					
1584.35	0.823125					
1609.9	0.123156					
