Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.139504					
25.554	1.04793					
51.108	0.048071					
76.662	1.04665					
102.216	1.83692					
127.77	0.824321					
153.324	1.26406					
178.878	0.288829					
204.432	0.857968					
229.986	0.0753887					
255.54	0.939533					
281.094	1.53923					
306.648	0.549159					
332.202	1.36578					
357.756	0.988457					
383.31	0.410192					
408.864	0.160247					
434.418	0.983005					
459.972	0.465074					
485.526	1.05063					
511.08	1.62111					
536.634	0.60208					
562.188	0.852551					
587.742	0.270601					
613.296	0.510582					
638.85	0.740449					
664.404	0.877532					
689.958	1.69002					
715.512	0.768572					
741.066	0.885993					
766.62	1.37232					
792.174	0.376053					
817.728	0.237102					
843.282	0.667663					
868.836	0.308428					
894.39	0.752156					
919.944	1.34636					
945.498	0.802769					
971.052	0.71539					
996.606	0.41577					
1022.16	0.278184					
1047.71	1.269					
1073.27	1.22039					
1098.82	0.690142					
1124.38	0.932731					
1149.93	0.0500381					
1175.48	0.881079					
1201.04	1.19611					
1226.59	0.503181					
1252.15	0.271497					
1277.7	1.03314					
1303.25	0.606745					
1328.81	0.739817					
1354.36	0.984747					
1379.92	0.158721					
1405.47	0.776082					
1431.02	0.755185					
1456.58	1.2099					
1482.13	1.19837					
1507.69	0.248393					
1533.24	0.655257					
1558.79	0.156465					
1584.35	0.831894					
1609.9	1.52869					
